episode,final_net_worth,total_reward,buy_count,sell_count,entropy_mean,value_loss_mean,explained_variance,grad_norm_mean
0,3890.35451705379,-0.7033892844711209,478,472,-3.042636904120445,0.0445633330848068,-31.157283782958984,0.4999991096078251
1,9185.710435087234,0.08167183582400334,473,467,-3.0292845249176024,0.006934807875950355,-2.219168186187744,0.4999990613422258
2,8249.500174174173,-0.029848263980458478,476,465,-3.016387102007866,0.0037387263178970897,-2.232088088989258,0.4992053103214834
3,5230.0799295437455,-0.46784837478774377,455,495,-3.0080413073301315,0.0023291156510822477,-0.2658151388168335,0.49999910589271546
4,3228.4190803804427,-0.9451601119839441,482,470,-2.9879497975111007,0.002416845651896438,-1.0259850025177002,0.49999900708332184
5,3995.8641914840164,-0.6852813056731686,470,478,-2.9734002351760864,0.0011101629434051574,-0.33463943004608154,0.49999903364194276
6,7426.687029144399,-0.13501727254545515,458,487,-2.951778304576874,0.003645101174879528,-0.4238746166229248,0.4315808167215591
7,9705.197317175282,0.15523686492488628,491,456,-2.936297795176506,0.0011687474389873386,0.22763007879257202,0.4999990692892434
8,9111.291410875141,0.10659367874113695,457,498,-2.920413237810135,0.0017634833757256274,-0.52140212059021,0.22721784628386305
9,14776.450219266786,0.5640902627557818,467,488,-2.890431451797485,0.0014151796519399796,-0.05820775032043457,0.3496131081206498
