episode,final_net_worth,total_reward,buy_count,sell_count,entropy_mean,value_loss_mean,explained_variance,grad_norm_mean
0,9607.714562736519,0.12470356774426242,464,483,-3.0442914038896562,0.17380881290882827,-5.720973968505859,0.4999993916930016
1,6089.561860034769,-0.27351907042046497,473,463,-3.0423529028892515,0.025871406332589685,-6.003315448760986,0.4999992851608911
2,2781.1200716261487,-1.066197563042266,464,470,-3.0398682028055193,0.01631518539506942,-1.2867405414581299,0.49999922306786526
3,11113.903887974191,0.28833286702186933,484,457,-3.0368988513946533,0.008491442335071042,-0.4212639331817627,0.4999991529839792
4,6996.167260978928,-0.17020204299931013,455,478,-3.035298839211464,0.005026682595780585,-0.9116932153701782,0.4999991395532463
5,1909.0697157622744,-1.4328837142883062,436,501,-3.0318165361881255,0.0034234531354741192,-0.40090012550354004,0.49999928023084933
6,7847.45958200614,-0.015976006259541847,480,448,-3.0257196366786956,0.0048805082362378014,0.051467180252075195,0.499999232221542
7,3094.4137336221074,-0.9173370701075747,457,483,-3.021881106495857,0.0027635490070679223,-0.09039711952209473,0.49999927215302925
8,13946.57777632698,0.5224989802123682,483,443,-3.0126895666122437,0.002460093456465984,0.20809561014175415,0.4999993771189877
9,12397.929385587286,0.41453594861169085,491,453,-3.0042642772197725,0.0022761520733183714,0.28456640243530273,0.49999924567141835
